panel	gid	tpm_Ar	tpm_As	tpm_Br	tpm_Bs	tpm_Hr	tpm_Hs	SS_Ar_As	SS_Br_Bs	SS_As_Bs	SS_Hs_As	SS_Hs_Bs	SS_Hs_Ms	tag	link
variable (1042)	Zm00001d043136	8.562237958426154	3.4659525884876445	8.100253450677052	4.196122215808411	0	1.137889896813259	0.0832281625090626	0.09780611545317433	0.41237524950099796	0.25681969394544235	0.4444444444444445	0.2827586206896552	variable	https://s3.msi.umn.edu/zhoup-igv/index.html?sessionURL=https://s3.msi.umn.edu/zhoup-igv-data/sessions/cage/Zm00001d043136.json
variable (1042)	Zm00001d043178	71.58681362781257	36.17350079925416	67.94716383113887	28.53805413411913	10.364568364644501	14.596918534321148	0.07128914888350035	0.0714049631592861	0.1738588500360109	0.061798409045777894	0.13751019204413373	0.06916079260084818	variable	https://s3.msi.umn.edu/zhoup-igv/index.html?sessionURL=https://s3.msi.umn.edu/zhoup-igv-data/sessions/cage/Zm00001d043178.json
variable (1042)	Zm00001d043229	6.53057475558953	6.091433439395261	3.5781880359619334	2.3370438341616286	2.6153583723869303	4.133781721078852	0.05040339702760081	0.06794258373205742	0.11365079365079363	0.08504145936981757	0.06098081023454156	0.05285338015803336	variable	https://s3.msi.umn.edu/zhoup-igv/index.html?sessionURL=https://s3.msi.umn.edu/zhoup-igv-data/sessions/cage/Zm00001d043229.json
variable (1042)	Zm00001d043267	16.988045701493572	9.31226058313004	8.388148695686878	5.32157192147268	0.6780558743225374	5.713451255515738	0.08933658933658935	0.09123731459797044	0.10256410256410269	0.12434304825609167	0.1837474120082816	0.13926119646943447	variable	https://s3.msi.umn.edu/zhoup-igv/index.html?sessionURL=https://s3.msi.umn.edu/zhoup-igv-data/sessions/cage/Zm00001d043267.json
variable (1042)	Zm00001d043278	1.451694972099274	1.5261535048867525	1.1771040862778368	1.5323202570842558	1.5498419984515142	1.2539216974012086	0.031111111111111114	0.09213362068965517	0.10183908045977011	0.07757575757575758	0.07523510971786837	0.07528409090909091	variable	https://s3.msi.umn.edu/zhoup-igv/index.html?sessionURL=https://s3.msi.umn.edu/zhoup-igv-data/sessions/cage/Zm00001d043278.json
variable (1042)	Zm00001d043309	8.582142318802456	11.94561247117868	6.8532686439437995	6.792047576613381	4.552660870451323	6.609911359840816	0.051668358284699234	0.09064676616915425	0.10328241563055061	0.11612722847181109	0.16259259259259262	0.08128605992927602	variable	https://s3.msi.umn.edu/zhoup-igv/index.html?sessionURL=https://s3.msi.umn.edu/zhoup-igv-data/sessions/cage/Zm00001d043309.json
variable (1042)	Zm00001d043329	67.94721676481035	25.57620630239629	28.649137852184108	13.473022799155714	5.4244469945802996	16.65673095059034	0.08157674247799286	0.09437844295480188	0.14828995364910452	0.06472120896300151	0.09794222398100519	0.03788727136991407	variable	https://s3.msi.umn.edu/zhoup-igv/index.html?sessionURL=https://s3.msi.umn.edu/zhoup-igv-data/sessions/cage/Zm00001d043329.json
variable (1042)	Zm00001d043335	20.503772555989208	22.13332981144075	10.386263765532387	8.42904274591341	4.6495259953545425	7.113719885804289	0.045666305525460436	0.04727163461538462	0.12776442307692307	0.09155518394648832	0.17622282608695652	0.09669389769175941	variable	https://s3.msi.umn.edu/zhoup-igv/index.html?sessionURL=https://s3.msi.umn.edu/zhoup-igv-data/sessions/cage/Zm00001d043335.json
variable (1042)	Zm00001d043382	100.5562832266081	14.697115259585978	49.01529119632351	8.609314974536742	14.917229235095824	8.88936094575221	0.062328916219966786	0.08400618690252835	0.20238095238095238	0.1048951048951049	0.10356310356310357	0.05758757371660597	variable	https://s3.msi.umn.edu/zhoup-igv/index.html?sessionURL=https://s3.msi.umn.edu/zhoup-igv-data/sessions/cage/Zm00001d043382.json
variable (1042)	Zm00001d043565	8.93602666199213	5.759274321690251	5.776786127989188	3.0339995621321556	2.9059537470965893	7.04275922611377	0.061100116231583575	0.08179640718562876	0.11374485596707823	0.06918724279835378	0.09964285714285707	0.0625	variable	https://s3.msi.umn.edu/zhoup-igv/index.html?sessionURL=https://s3.msi.umn.edu/zhoup-igv-data/sessions/cage/Zm00001d043565.json
