pnl	gid	SS_Ar_As	SS_Ar_Br	SS_Ar_Bs	SS_As_Bs	SS_Bhusk_Bs	SS_Br_Bs	SS_Bstem_Bs	SS_Hr_Ar	SS_Hr_Br	SS_Hr_Mr	SS_Hs_As	SS_Hs_Bs	SS_Hs_Ms
stable (633)	Zm00001d013589	0.03606102635228848	0.036152882205513805	0.039285714285714285	0.06216998807698857	0.09966727162734418	0.05263157894736842	0.04186909581646426	0.1218984962406015	0.12280701754385964	0.10222451553720904	0.06015950069348127	0.08928571428571427	0.06782648681790313
stable (633)	Zm00001d013598	0.04159863701111313	0.053315211409343206	0.07715648176608866	0.044963346576218116	0.049870435921215955	0.08437513120880037	0.04854590559489024	0.05192461908580594	0.09926470588235294	0.050635785649409626	0.04682187078976069	0.05683034845240412	0.0518168209036473
stable (633)	Zm00001d013747	0.07157082103935967	0.045133439830675914	0.047800829875518674	0.09190535491905355	0.09544794188861985	0.06489104116222759	0.0810123952634859	0.08082248058830778	0.123306882746386	0.09378999124402235	0.06755476821075894	0.049255533199195164	0.04028471906709071
stable (633)	Zm00001d013751	0.008237766166856413	0.04328600206968607	0.01959829176225746	0.011360525595401046	0.02542368742368729	0.023687710307428618	0.04122063733984481	0.06874073810096548	0.025454736031279405	0.04094004032038937	0.04713059601064625	0.051090521678756974	0.05160331280526651
stable (633)	Zm00001d029527	0.02935275270369989	0.053025480229456697	0.011503547502007437	0.03649683210137278	0.0748292537707615	0.060169559627129575	0.07332957016223442	0.09091391862403686	0.06384131945599042	0.08283757099232797	0.029487056414194718	0.04861111111111121	0.02371507883117984
stable (633)	Zm00001d013971	0.03432297990677999	0.0621818181818182	0.055427694668200966	0.0415063103286752	0.0746447526108543	0.02828129395218001	0.08529711578821131	0.06133750505205359	0.04436608922275026	0.045126924007832206	0.06439447836950107	0.08110425741320003	0.06787688678511473
stable (633)	Zm00001d014082	0.015194093831864743	0.03970567063130553	0.04190845870217963	0.04138452443211533	0.02108870407349705	0.006024652374808822	0.03867906612285724	0.08871376301716855	0.06687981811076765	0.06625605649995897	0.12849062702003883	0.16132447954055998	0.151025459688826
stable (633)	Zm00001d014124	0.02676354294595069	0.012045171673330567	0.08110229468838014	0.06468644257481797	0.06867088260158319	0.07669515390454734	0.03451219169429266	0.04926423544465772	0.047505938242280304	0.04338549075391174	0.02024265644955298	0.06076746849942726	0.01838083436596448
stable (633)	Zm00001d014319	0.02582111628311653	0.030045173636164005	0.008449084313898951	0.021950462474393178	0.028612122171229624	0.030238596177089395	0.023351027311240974	0.09083239595050617	0.11439954467842912	0.1043540842029507	NA	NA	NA
stable (633)	Zm00001d014341	0.022294820717131483	0.048376963350785354	0.059247787610619454	0.06334690735582743	0.08840333135591014	0.05420933141824583	0.09009789842997912	0.156	0.13350785340314134	0.16176470588235295	0.04951881417222966	0.041613350681190125	0.04310786461528659
stable (633)	Zm00001d014344	0.07626891400114921	0.030032546106984827	0.08657429526994745	0.028271288183182457	0.06903152271323294	0.08700512539284135	0.06358531935796603	0.2373760488176964	0.24258342593527965	0.26759427303891914	0.045192161628436894	0.05816597195907541	0.09310344827586206
stable (633)	ENSRNA049461783	0.07154882154882158	0.04302582398912671	0.034528639357850194	0.09661098618695793	0.03687908695828764	0.027186598372613217	0.05259849997905	0.1548148148148148	0.11178899082568808	0.10530612244897956	0.23251748251748253	0.1359064963305246	0.13469139556096074
stable (633)	Zm00001d014423	0.03373348938619365	0.029857331540897106	0.049611952021663644	0.03317946139170296	0.04952918237619988	0.061141698058533755	0.033672111468877455	0.0778972924605633	0.08928680028844234	0.07615009165396762	0.029838319002058866	0.0246972102184202	0.024917452597030272
stable (633)	Zm00001d014467	0.01680645348929695	0.015133645287693506	0.0279574865387485	0.020069284719048206	0.04938191544282397	0.01912786962088898	0.053494699618377904	0.05583457666483205	0.04992363411705654	0.054526244153733666	0.01988280747512646	0.011661369459534623	0.022351315222566816
stable (633)	Zm00001d014491	0.04621305111412666	0.04635737882823881	0.03115727762167709	0.03283119240367628	0.04142414025580544	0.023807103448771932	0.05995974127704018	0.07750552881811125	0.0480703822955875	0.06964602272929105	0.036314170806718844	0.0609126634993256	0.06711752329425907
stable (633)	Zm00001d014519	0.03501839225524453	0.030475566995923617	0.05473421926910301	0.02582569096467179	0.05951952723535461	0.07620962594152944	0.09151576123407115	0.054465063856834875	0.04911797833018703	0.05399655958138571	0.06610281663282823	0.05973231100349746	0.06314017632451713
stable (633)	Zm00001d014559	0.030836515546232447	0.10380673635740824	0.05779623755182455	0.041675014257578614	0.06314297404722938	0.047632063448677396	0.08425824974108971	0.1774302907026019	0.17013653164365994	0.1746250382614019	0.06650360984648873	0.09214889661838409	0.073951938266446
stable (633)	Zm00001d014583	0.05957173905298045	0.026696832579185398	0.03578774167009456	0.07444523979957055	0.08556149732620325	0.015151515151515211	0.06715542521994138	0.2621202327084681	0.2662337662337662	0.27342192691029904	0.1982820329277022	0.2727272727272727	0.22679425837320571
stable (633)	Zm00001d014613	0.035564418962150485	0.04195910894110467	0.0474188790560472	0.01185446009389671	0.046917148362235074	0.017816091954022988	0.026298792474024148	NA	NA	NA	NA	NA	NA
stable (633)	Zm00001d014641	0.03694554238032506	0.06183574879227046	0.04589371980676328	0.032828282828282825	0.07193877551020422	0.0527777777777777	0.04091120409112041	0.24154589371980675	0.24444444444444452	0.25641025641025644	0.09476843910806168	0.10613207547169812	0.09224318658280924
stable (633)	Zm00001d014772	0.021304459453303923	0.04954566375400367	0.050014121756936564	0.06093594324283631	0.08662476463609736	0.06183582828522822	0.06209979125377723	0.10307901530382468	0.07116800231283263	0.0886305738461566	0.07661374637921171	0.07095744391562092	0.058723902719965713
stable (633)	Zm00001d014790	0.03898816430726383	0.08436724565756823	0.051978581689956935	0.01634967329779901	0.04352226720647767	0.032388663967611295	0.04842525895157479	0.12903225806451613	0.07775020678246485	0.12903225806451613	0.04139600940606748	0.029217929064633236	0.02949396881435715
stable (633)	Zm00001d014852	0.029149644635961786	0.09934985778138963	0.01683221607868076	0.03626908486691539	0.09324327447239562	0.08251764170270888	0.01169394624655959	0.1748088360237892	0.25955204216073785	0.17899332306111965	NA	NA	NA
stable (633)	Zm00001d014896	0.06589673913043487	0.04012124724883098	0.06674789741151303	0.06237539872408293	0.08792406793739238	0.07682050477563854	0.07283359914938861	0.08798524844720496	0.05629334804539723	0.08333333333333334	0.05886994949494963	0.08878256246677302	0.08069868358677024
stable (633)	Zm00001d014898	0.025275948447195447	0.12100749698320998	0.03583861874652731	0.033915888887986315	0.059449632403227766	0.08678580997101241	0.07312412499339313	0.11019004936444855	0.0639055247012436	0.054771734090455396	0.03733184046686006	0.045359255847522796	0.04284347141489997
stable (633)	Zm00001d014949	0.06457694107857924	0.06386983998924296	0.08596533461723638	0.0647634033944026	0.0761883415803176	0.07718686428363848	0.09867172675521821	0.2192881745120551	0.22453222453222454	0.2217883639203436	0.07858167657306825	0.08159392789373814	0.08679471788715488
stable (633)	Zm00001d014974	0.0449853763807252	0.05950953865123131	0.056595386271115065	0.060521247140965524	0.08340669014084508	0.06135783774813834	0.08215682403397423	0.30253523852530406	0.25987674621445017	0.2750809061488674	0.07017895299145294	0.06426056338028167	0.058545524691358056
stable (633)	Zm00001d014993	0.01388780660969549	0.012872016538244692	0.023978247905946225	0.02374707307023622	0.02810113298887186	0.011106231367701532	0.011969189894175291	0.34059189507314613	0.33912074303405576	0.3373834141402341	0.07396465513950913	0.09588723109153473	0.07518057735593313
stable (633)	Zm00001d015058	0.07557657209225152	0.0538511210223604	0.06819313091090094	0.03658536585365854	0.06438325912002014	0.08043934743983211	0.05456130081300814	0.14512471655328799	0.09167905572825158	0.0968906430496727	0.053562888570062056	0.07795313247250109	0.053119429590017815
stable (633)	Zm00001d015103	0.055649097743082174	0.07229409458640718	0.049233052944087086	0.05726116780993815	0.05564784053156146	0.026937010634568166	0.08471130479642679	0.36044621749408984	0.36165201005025127	0.35778061224489793	0.030953698579597892	0.04749552772808586	0.03534088650367723
stable (633)	Zm00001d001582	0.05051605427108236	0.058963500306947046	0.0810815676808614	0.04622582488497426	0.06984956888644289	0.07140214576396596	0.05629019569677942	0.10221492731142452	0.0983118172790466	0.10397105693858211	0.030209097300324825	0.03474166333390466	0.0345019798002671
